0.986067783,0.241054217,0.073732184,0.678278343,0.017515902
0.847615276,0.997478737,0.656369584,0.372356982,0.209662254
0.420940498,0.653204175,0.288934942,0.778107302,0.169415909
0.133688147,0.540775067,0.409752067,0.312784636,0.741455288
0.024698431,0.133777140,0.738988631,0.034522553,0.285464456
0.946979170,0.700926547,0.274171865,0.077800427,0.754664299
0.200702943,0.102476230,0.286688675,0.067937168,0.463162907
0.455762009,0.110063808,0.279283769,0.580758596,0.207202493
0.708621688,0.261922067,0.702721071,0.267469343,0.170148626
0.968537051,0.151522265,0.171409511,0.453079280,0.443835363
